date,trip_count,temperature
2022-04-27,2083,11.6
2022-04-28,2095,8.2
2022-04-29,2372,10.4
2022-04-30,3115,12.9
2022-05-01,3163,13.599999999999998
2022-05-02,1557,12.1
2022-05-03,2429,12.4
2022-05-04,2161,12.0
2022-05-05,3108,17.2
2022-05-06,886,14.8
2022-05-07,577,10.0
2022-05-08,1535,10.4
2022-05-09,2361,13.5
2022-05-10,2624,15.399999999999999
2022-05-11,2699,16.1
2022-05-12,2828,17.1
2022-05-13,2530,16.0
2022-05-14,2214,17.9
2022-05-15,3361,18.8
2022-05-16,2207,20.4
2022-05-17,3126,19.7
2022-05-18,3190,17.8
2022-05-19,2407,15.5
2022-05-20,2134,15.399999999999999
2022-05-21,3816,21.2
2022-05-22,3735,27.8
2022-05-23,2942,21.0
2022-05-24,2837,17.4
2022-05-25,2995,16.2
2022-05-26,3029,16.4
2022-05-27,2251,20.2
2022-05-28,2398,20.4
2022-05-29,3199,20.7
2022-05-30,3348,23.300000000000004
2022-05-31,2835,28.3
2022-06-01,2299,17.8
2022-06-02,2679,20.3
2022-06-03,3547,19.5
2022-06-04,4245,21.9
2022-06-05,4092,20.0
2022-06-06,3188,22.199999999999996
2022-06-07,2921,21.8
2022-06-08,3538,23.7
2022-06-09,3392,24.399999999999995
2022-06-10,3700,21.8
2022-06-11,4064,21.8
2022-06-12,3016,20.5
2022-06-13,3438,24.199999999999996
2022-06-14,3687,23.9
2022-06-15,3831,23.3
2022-06-16,2804,20.3
2022-06-17,3929,25.2
2022-06-18,3585,21.7
2022-06-19,3437,17.3
2022-06-20,3811,20.5
2022-06-21,2953,22.1
2022-06-22,2761,19.1
2022-06-23,3348,19.2
2022-06-24,3798,21.9
2022-06-25,4031,25.8
2022-06-26,3898,27.0
2022-06-27,2339,24.3
2022-06-28,3609,22.4
2022-06-29,3735,23.9
2022-06-30,3624,25.4
2022-07-01,3381,28.1
2022-07-02,3288,28.699999999999996
2022-07-03,2974,26.9
2022-07-04,4497,25.6
2022-07-05,2854,25.9
2022-07-06,3451,26.0
2022-07-07,3441,24.2
2022-07-08,3079,23.5
2022-07-09,4311,24.7
2022-07-10,3784,23.4
2022-07-11,3177,24.0
2022-07-12,3277,25.8
2022-07-13,3686,28.9
2022-07-14,3687,26.6
2022-07-15,3720,26.1
2022-07-16,3824,24.3
2022-07-17,3850,25.7
2022-07-18,2378,26.2
2022-07-19,3600,28.2
2022-07-20,3510,31.3
2022-07-21,3498,29.800000000000004
2022-07-22,3469,30.9
2022-07-23,3671,30.3
2022-07-24,3153,31.1
2022-07-25,2780,29.8
2022-07-26,3522,25.899999999999995
2022-07-27,3625,25.5
2022-07-28,3558,26.7
2022-07-29,3487,28.2
2022-07-30,4175,26.7
2022-07-31,3795,26.3
2022-08-01,3084,23.1
2022-08-02,3582,26.399999999999995
2022-08-03,3830,27.6
2022-08-04,3626,29.1
2022-08-05,4005,29.3
2022-08-06,4112,29.6
2022-08-07,3563,29.6
2022-08-08,3313,30.300000000000004
2022-08-09,3499,31.3
2022-08-10,3893,27.2
2022-08-11,3634,26.6
2022-08-12,4129,25.6
2022-08-13,4298,23.1
2022-08-14,4221,24.0
2022-08-15,3643,24.3
2022-08-16,3885,23.6
2022-08-17,3676,23.6
2022-08-18,3834,24.1
2022-08-19,3672,26.3
2022-08-20,3967,27.9
2022-08-21,3835,25.3
2022-08-22,2455,24.5
2022-08-23,3544,25.9
2022-08-24,3759,26.9
2022-08-25,3890,28.1
2022-08-26,3793,27.4
2022-08-27,4010,27.8
2022-08-28,3704,24.6
2022-08-29,3472,26.0
2022-08-30,3486,26.8
2022-08-31,3817,25.6
2022-09-01,3844,25.9
2022-09-02,3751,21.7
2022-09-03,3204,22.8
2022-09-04,2965,25.3
2022-09-05,2852,25.8
2022-09-06,1213,23.3
2022-09-07,3069,20.8
2022-09-08,3955,21.8
2022-09-09,4196,21.9
2022-09-10,4389,23.6
2022-09-11,2169,23.2
2022-09-12,3330,22.4
2022-09-13,3457,24.7
2022-09-14,3847,22.9
2022-09-15,4065,21.8
2022-09-16,3942,19.6
2022-09-17,4527,20.8
2022-09-18,3975,23.4
2022-09-19,2909,25.6
2022-09-20,3618,23.2
2022-09-21,3967,22.0
2022-09-22,3023,21.800000000000004
2022-09-23,3404,15.1
2022-09-24,4039,14.5
2022-09-25,2826,19.2
2022-09-26,3310,19.4
2022-09-27,3741,19.7
2022-09-28,3593,17.2
2022-09-29,3608,16.6
2022-09-30,3459,14.5
2022-10-01,1783,14.8
2022-10-02,1519,15.2
2022-10-03,1331,11.5
2022-10-04,1571,10.3
2022-10-05,2064,13.8
2022-10-06,3805,17.6
2022-10-07,3637,20.3
2022-10-08,3264,13.9
2022-10-09,3188,12.3
2022-10-10,3009,15.8
2022-10-11,3387,17.0
2022-10-12,3563,17.9
2022-10-13,2134,18.7
2022-10-14,3503,15.7
2022-10-15,3600,16.2
2022-10-16,3271,16.1
2022-10-17,2656,16.6
2022-10-18,3091,12.6
2022-10-19,3065,10.0
2022-10-20,3169,11.1
2022-10-21,3246,13.4
2022-10-22,3573,14.4
2022-10-23,1994,14.7
2022-10-24,1980,14.1
2022-10-25,3034,16.9
2022-10-26,3469,18.3
2022-10-27,3515,16.9
2022-10-28,3215,11.3
2022-10-29,3186,10.8
2022-10-30,2814,12.5
2022-10-31,2922,14.4
2022-11-01,3035,16.9
2022-11-02,3409,17.6
2022-11-03,3493,15.7
2022-11-04,3425,15.2
2022-11-05,3745,19.4
2022-11-06,3033,19.8
2022-11-07,2984,21.3
2022-11-08,3043,13.2
2022-11-09,2892,8.7
2022-11-10,3190,12.6
2022-11-11,1675,16.4
2022-11-12,3779,19.7
2022-11-13,2215,12.9
2022-11-14,2127,6.3
2022-11-15,2017,4.9
2022-11-16,2342,7.3
2022-11-17,2394,5.7
2022-11-18,2295,4.5
2022-11-19,2075,2.8
2022-11-20,1460,2.7
2022-11-21,1941,1.1
